CustomerID,Cluster
C0001,2
C0002,4
C0003,4
C0004,1
C0005,4
C0006,2
C0007,4
C0008,2
C0009,0
C0010,0
C0011,2
C0012,1
C0013,1
C0014,0
C0015,0
C0016,2
C0017,1
C0018,1
C0019,4
C0020,0
C0021,1
C0022,2
C0023,1
C0024,2
C0025,0
C0026,2
C0027,4
C0028,3
C0029,4
C0030,4
C0031,4
C0032,0
C0033,0
C0034,4
C0035,4
C0036,4
C0037,2
C0038,4
C0039,2
C0040,2
C0041,1
C0042,4
C0043,0
C0044,4
C0045,1
C0046,1
C0047,4
C0048,2
C0049,4
C0050,4
C0051,1
C0052,4
C0053,1
C0054,3
C0055,4
C0056,4
C0057,2
C0058,0
C0059,3
C0060,0
C0061,4
C0062,0
C0063,0
C0064,2
C0065,3
C0066,2
C0067,2
C0068,1
C0069,4
C0070,4
C0071,0
C0072,4
C0073,4
C0074,4
C0075,1
C0076,4
C0077,0
C0078,0
C0079,2
C0080,0
C0081,2
C0082,3
C0083,0
C0084,2
C0085,4
C0086,4
C0087,3
C0088,4
C0089,4
C0090,2
C0091,4
C0092,4
C0093,1
C0094,0
C0095,0
C0096,1
C0097,0
C0098,4
C0099,3
C0100,1
C0101,1
C0102,1
C0103,4
C0104,3
C0105,1
C0106,4
C0107,2
C0108,1
C0109,1
C0110,0
C0111,4
C0112,4
C0113,1
C0114,1
C0115,4
C0116,4
C0117,2
C0118,2
C0119,0
C0120,4
C0121,0
C0122,1
C0123,0
C0124,2
C0125,4
C0126,2
C0127,4
C0128,0
C0129,4
C0130,0
C0131,4
C0132,4
C0133,4
C0134,4
C0135,4
C0136,2
C0137,2
C0138,1
C0139,2
C0140,4
C0141,3
C0142,4
C0143,1
C0144,0
C0145,1
C0146,4
C0147,4
C0148,1
C0149,2
C0150,0
C0151,0
C0152,2
C0153,1
C0154,2
C0155,1
C0156,3
C0157,4
C0158,2
C0159,4
C0160,4
C0161,4
C0162,1
C0163,1
C0164,4
C0165,3
C0166,4
C0167,4
C0168,1
C0169,2
C0170,1
C0171,1
C0172,4
C0173,1
C0174,4
C0175,1
C0176,4
C0177,4
C0178,4
C0179,2
C0181,2
C0182,1
C0183,2
C0184,2
C0185,2
C0186,4
C0187,2
C0188,3
C0189,4
C0190,4
C0191,4
C0192,4
C0193,4
C0194,2
C0195,2
C0196,1
C0197,4
C0198,0
C0199,4
C0200,1
