CustomerID,Lookalikes
C0001,"C0191:1.0000, C0035:1.0000, C0012:1.0000"
C0002,"C0134:1.0000, C0062:1.0000, C0109:1.0000"
C0003,"C0031:1.0000, C0147:1.0000, C0190:1.0000"
C0004,"C0169:1.0000, C0039:1.0000, C0165:1.0000"
C0005,"C0007:1.0000, C0069:1.0000, C0177:1.0000"
C0006,"C0079:1.0000, C0185:1.0000, C0126:1.0000"
C0007,"C0005:1.0000, C0146:1.0000, C0021:1.0000"
C0008,"C0113:1.0000, C0086:1.0000, C0169:1.0000"
C0009,"C0198:1.0000, C0129:1.0000, C0192:1.0000"
C0010,"C0049:1.0000, C0091:1.0000, C0109:1.0000"
C0011,"C0107:1.0000, C0125:1.0000, C0153:1.0000"
C0012,"C0018:1.0000, C0102:1.0000, C0194:1.0000"
C0013,"C0099:1.0000, C0188:1.0000, C0155:1.0000"
C0014,"C0144:1.0000, C0071:1.0000, C0025:1.0000"
C0015,"C0131:1.0000, C0052:1.0000, C0137:1.0000"
C0016,"C0074:1.0000, C0050:1.0000, C0126:1.0000"
C0017,"C0124:1.0000, C0161:1.0000, C0084:1.0000"
C0018,"C0012:1.0000, C0068:1.0000, C0070:1.0000"
C0019,"C0008:1.0000, C0075:1.0000, C0086:1.0000"
C0020,"C0095:1.0000, C0120:1.0000, C0112:1.0000"
C0021,"C0022:1.0000, C0114:1.0000, C0054:1.0000"
C0022,"C0021:1.0000, C0200:1.0000, C0114:1.0000"
C0023,"C0051:1.0000, C0141:1.0000, C0100:1.0000"
C0024,"C0194:1.0000, C0116:1.0000, C0179:1.0000"
C0025,"C0071:1.0000, C0076:1.0000, C0031:1.0000"
C0026,"C0067:1.0000, C0102:1.0000, C0122:1.0000"
C0027,"C0088:1.0000, C0084:1.0000, C0161:1.0000"
C0028,"C0143:1.0000, C0145:1.0000, C0173:1.0000"
C0029,"C0034:1.0000, C0176:1.0000, C0157:1.0000"
C0030,"C0176:1.0000, C0038:1.0000, C0160:1.0000"
C0031,"C0003:1.0000, C0147:1.0000, C0190:1.0000"
C0032,"C0083:1.0000, C0077:1.0000, C0094:1.0000"
C0033,"C0151:1.0000, C0032:0.9999, C0077:0.9999"
C0034,"C0109:1.0000, C0176:1.0000, C0029:1.0000"
C0035,"C0001:1.0000, C0116:1.0000, C0174:1.0000"
C0036,"C0076:1.0000, C0189:1.0000, C0181:1.0000"
C0037,"C0064:1.0000, C0053:1.0000, C0046:1.0000"
C0038,"C0160:1.0000, C0073:1.0000, C0047:1.0000"
C0039,"C0169:1.0000, C0055:1.0000, C0195:1.0000"
C0040,"C0141:1.0000, C0066:1.0000, C0115:1.0000"
C0041,"C0045:1.0000, C0156:1.0000, C0093:1.0000"
C0042,"C0187:1.0000, C0185:1.0000, C0016:1.0000"
C0043,"C0002:1.0000, C0142:1.0000, C0030:1.0000"
C0044,"C0066:1.0000, C0074:1.0000, C0016:1.0000"
C0045,"C0090:1.0000, C0041:1.0000, C0093:1.0000"
C0046,"C0122:1.0000, C0102:1.0000, C0182:1.0000"
C0047,"C0172:1.0000, C0113:1.0000, C0169:1.0000"
C0048,"C0184:1.0000, C0118:1.0000, C0154:1.0000"
C0049,"C0010:1.0000, C0111:1.0000, C0091:1.0000"
C0050,"C0168:1.0000, C0016:1.0000, C0126:1.0000"
C0051,"C0100:1.0000, C0059:1.0000, C0170:1.0000"
C0052,"C0174:1.0000, C0131:1.0000, C0133:1.0000"
C0053,"C0182:1.0000, C0057:1.0000, C0046:1.0000"
C0054,"C0138:1.0000, C0021:1.0000, C0114:1.0000"
C0055,"C0189:1.0000, C0116:1.0000, C0039:1.0000"
